from activity name,from reference product,from location,from categories,from database,from key,to activity name,to reference product,to location,to categories,to database,to key,flow type,baseline,electric_tractor
Dinitrogen monoxide,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'afd6d670-bbb0-4625-9730-04088a5b035e')","tillage, disking","tillage, disking",US,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', '63ccca80355f4ffc95b09e982d9dacb5')",biosphere,0.0003160670748911798,0.0
"Methane, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '70ef743b-3ed5-4a6d-b192-fb6d62378555')","tillage, disking","tillage, disking",US,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', '63ccca80355f4ffc95b09e982d9dacb5')",biosphere,0.00033897047978825867,0.0
"NMVOC, non-methane volatile organic compounds",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '33b38ccb-593b-4b11-b965-10d747ba3556')","tillage, disking","tillage, disking",US,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', '63ccca80355f4ffc95b09e982d9dacb5')",biosphere,0.004305840935558081,0.0
Nitrogen oxides,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '77357947-ccc5-438e-9996-95e65e1e1bce')","tillage, disking","tillage, disking",US,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', '63ccca80355f4ffc95b09e982d9dacb5')",biosphere,0.10695892572402954,0.0
"PAH, polycyclic aromatic hydrocarbons",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '13d898ac-b9be-4723-a153-565e2a9144ac')","tillage, disking","tillage, disking",US,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', '63ccca80355f4ffc95b09e982d9dacb5')",biosphere,8.657489161123522e-06,0.0
"Particulate Matter, < 2.5 um",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '66f50b33-fd62-4fdd-a373-c5b0de7de00d')","tillage, disking","tillage, disking",US,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', '63ccca80355f4ffc95b09e982d9dacb5')",biosphere,0.014360438100993633,0.0
Sulfur dioxide,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '78c3efe4-421c-4d30-82e4-b97ac5124993')","tillage, disking","tillage, disking",US,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', '63ccca80355f4ffc95b09e982d9dacb5')",biosphere,0.0026567955501377583,0.0
"market group for electricity, low voltage","electricity, low voltage",World,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', '0cafab61141d4409954102d892bdbdf7')","tillage, cultivating, chiselling","tillage, cultivating, chiselling",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'ba9420c6ea97473590fb5c9dc218f974')",technosphere,0.0,75.87908482142522
Ammonia,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '0f440cc0-0f74-446d-99d6-8ff0e97a2444')","tillage, cultivating, chiselling","tillage, cultivating, chiselling",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'ba9420c6ea97473590fb5c9dc218f974')",biosphere,0.0003100000030826777,0.0
Benzene,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '5e883a00-04e6-4d96-8dce-12d7117c6635')","tillage, cultivating, chiselling","tillage, cultivating, chiselling",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'ba9420c6ea97473590fb5c9dc218f974')",biosphere,0.00011300000187475234,0.0
"Carbon dioxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'aa7cac3a-3625-41d4-bc54-33e2cf11ec46')","tillage, cultivating, chiselling","tillage, cultivating, chiselling",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'ba9420c6ea97473590fb5c9dc218f974')",biosphere,46.346999240815634,0.0
"Carbon monoxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '099b36ab-4c03-4587-87f4-2f81e337afb8')","tillage, cultivating, chiselling","tillage, cultivating, chiselling",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'ba9420c6ea97473590fb5c9dc218f974')",biosphere,0.12999999523162842,0.0
Dinitrogen monoxide,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'afd6d670-bbb0-4625-9730-04088a5b035e')","tillage, cultivating, chiselling","tillage, cultivating, chiselling",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'ba9420c6ea97473590fb5c9dc218f974')",biosphere,0.0018599999602884054,0.0
"Methane, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '70ef743b-3ed5-4a6d-b192-fb6d62378555')","tillage, cultivating, chiselling","tillage, cultivating, chiselling",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'ba9420c6ea97473590fb5c9dc218f974')",biosphere,0.0020000000949949026,0.0
